  PID TTY      STAT   TIME COMMAND
 2802 ?        Sl     0:00 /usr/lib/gvfs/gvfsd-trash --spawner :1.6 /org/gtk/gvfs/exec_spaw/0
 2818 ?        Sl     0:00 /usr/lib/gvfs/gvfsd-metadata
 2822 ?        Sl     0:00 /usr/lib/gvfs/gvfsd-burn --spawner :1.6 /org/gtk/gvfs/exec_spaw/1
 2834 ?        Sl     0:04 gnome-terminal
 2841 ?        S      0:00 gnome-pty-helper
 2842 pts/15   Ss     0:00 bash
 2856 ?        Sl     0:00 telepathy-indicator
 2863 ?        Sl     0:00 /usr/lib/telepathy/mission-control-5
 2880 pts/15   S      0:00 dbus-launch --autolaunch=a06deb1e945221c12a6052da54f5f7de --binary-syntax --close-stderr
 2881 ?        Ss     0:00 //bin/dbus-daemon --fork --print-pid 5 --print-address 7 --session
 2886 ?        Sl     0:00 /usr/lib/dconf/dconf-service
 2888 ?        Sl     0:00 /usr/bin/zeitgeist-daemon
 2895 ?        Sl     0:00 zeitgeist-datahub
 2917 ?        Sl     0:00 /usr/lib/gvfs/gvfsd
 2922 ?        Sl     0:00 /usr/lib/gvfs/gvfsd-fuse /home/user14/.gvfs -f -o big_writes
 2935 ?        Sl     0:00 /usr/bin/zeitgeist-daemon
 2941 ?        Sl     0:00 /usr/lib/x86_64-linux-gnu/zeitgeist-fts
 2943 ?        Sl     0:00 zeitgeist-datahub
 2947 ?        S      0:00 /bin/cat
 2979 ?        Sl     0:00 update-notifier
 2998 ?        S      0:00 [kworker/7:2]
 3027 pts/15   S      0:00 bash
 3052 ?        Sl     0:00 /usr/lib/x86_64-linux-gnu/deja-dup/deja-dup-monitor
 3072 ?        Sl     0:00 /usr/lib/x86_64-linux-gnu/unity-scope-home/unity-scope-home
 3084 ?        Sl     0:00 /usr/bin/unity-scope-loader applications/applications.scope applications/scopes.scope commands.scope
 3088 ?        Sl     0:00 /usr/lib/x86_64-linux-gnu/unity-lens-files/unity-files-daemon
 3120 ?        Sl     0:00 /usr/lib/x86_64-linux-gnu/unity-lens-music/unity-music-daemon
 3200 pts/15   Sl+    0:16 gedit hafta-4
 3216 pts/0    Ss     0:00 bash
 3284 ?        S      0:00 [kworker/u16:2]
 3317 ?        S      0:00 [kworker/u16:0]
 3360 ?        S      0:00 [kworker/u16:1]
 3377 ?        S      0:00 /lib/systemd/systemd-hostnamed
 3416 pts/0    S+     0:00 /bin/bash ./dosyayaYazma
 3417 pts/0    R+     0:00 ps ax
